中式数子法统计结果:
黑胜: 5042 局 (50.42%)
白胜: 4958 局 (49.58%)

与原统计对比:
一致: 9906 局
不一致: 94 局
缺失: 0 局

不一致的局:
  第164局: 原=black, 新=white
  第250局: 原=black, 新=white
  第365局: 原=black, 新=white
  第469局: 原=black, 新=white
  第542局: 原=black, 新=white
  第706局: 原=white, 新=black
  第829局: 原=white, 新=black
  第839局: 原=black, 新=white
  第908局: 原=black, 新=white
  第988局: 原=black, 新=white
  第1011局: 原=black, 新=white
  第1328局: 原=black, 新=white
  第1330局: 原=black, 新=white
  第1431局: 原=black, 新=white
  第1456局: 原=black, 新=white
  第1514局: 原=black, 新=white
  第1614局: 原=black, 新=white
  第1634局: 原=black, 新=white
  第1651局: 原=black, 新=white
  第1847局: 原=black, 新=white
  第1903局: 原=black, 新=white
  第1985局: 原=black, 新=white
  第2283局: 原=black, 新=white
  第2544局: 原=black, 新=white
  第2692局: 原=black, 新=white
  第2745局: 原=black, 新=white
  第2885局: 原=black, 新=white
  第2886局: 原=black, 新=white
  第2911局: 原=white, 新=black
  第3136局: 原=black, 新=white
  第3316局: 原=black, 新=white
  第3583局: 原=black, 新=white
  第3649局: 原=white, 新=black
  第3698局: 原=black, 新=white
  第3805局: 原=black, 新=white
  第3910局: 原=black, 新=white
  第3979局: 原=black, 新=white
  第4080局: 原=black, 新=white
  第4190局: 原=black, 新=white
  第4201局: 原=black, 新=white
  第4243局: 原=black, 新=white
  第4327局: 原=black, 新=white
  第4483局: 原=black, 新=white
  第4598局: 原=white, 新=black
  第4655局: 原=black, 新=white
  第4673局: 原=black, 新=white
  第4755局: 原=black, 新=white
  第4869局: 原=black, 新=white
  第4874局: 原=black, 新=white
  第4992局: 原=black, 新=white
  第5118局: 原=black, 新=white
  第5461局: 原=black, 新=white
  第5593局: 原=black, 新=white
  第5636局: 原=black, 新=white
  第5707局: 原=black, 新=white
  第5718局: 原=black, 新=white
  第5804局: 原=black, 新=white
  第5857局: 原=white, 新=black
  第6018局: 原=black, 新=white
  第6048局: 原=black, 新=white
  第6068局: 原=black, 新=white
  第6109局: 原=black, 新=white
  第6232局: 原=white, 新=black
  第6280局: 原=white, 新=black
  第6577局: 原=black, 新=white
  第6774局: 原=black, 新=white
  第7002局: 原=black, 新=white
  第7252局: 原=black, 新=white
  第7424局: 原=black, 新=white
  第7501局: 原=black, 新=white
  第7562局: 原=black, 新=white
  第7687局: 原=black, 新=white
  第7720局: 原=black, 新=white
  第7753局: 原=black, 新=white
  第7824局: 原=black, 新=white
  第7910局: 原=white, 新=black
  第7911局: 原=black, 新=white
  第8340局: 原=black, 新=white
  第8410局: 原=black, 新=white
  第8423局: 原=black, 新=white
  第8427局: 原=black, 新=white
  第8648局: 原=black, 新=white
  第8650局: 原=black, 新=white
  第8680局: 原=black, 新=white
  第8794局: 原=black, 新=white
  第8812局: 原=black, 新=white
  第8956局: 原=white, 新=black
  第8997局: 原=black, 新=white
  第9038局: 原=black, 新=white
  第9298局: 原=black, 新=white
  第9360局: 原=black, 新=white
  第9669局: 原=black, 新=white
  第9711局: 原=white, 新=black
  第9867局: 原=black, 新=white
